Aard-vark,n.,"An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
Aard-wolf,n.,"A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
Aaronic,a.,Alt. of Aaronical
Aaronical,a.,"Pertaining to Aaron, the first high priest of the Jews."
Aaron's rod,,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
Aaron's rod,,"A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."
Ab-,,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
Ab,n.,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
Abaca,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
Abacinate,v. t.,To blind by a red-hot metal plate held before the eyes.
Abacination,n.,The act of abacinating.
Abaciscus,n.,One of the tiles or squares of a tessellated pavement; an abaculus.
Abacist,n.,One who uses an abacus in casting accounts; a calculator.
Aback,adv.,Toward the back or rear; backward.
Aback,adv.,Behind; in the rear.
Aback,adv.,Backward against the mast; -- said of the sails when pressed by the wind.
Aback,n.,An abacus.
Abactinal,a.,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
Abaction,n.,Stealing cattle on a large scale.
Abactor,n.,One who steals and drives away cattle or beasts by herds or droves.
Abaculi,pl. ,of Abaculus
Abaculus,n.,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
Abacuses,pl. ,of Abacus
Abaci,pl. ,of Abacus
Abacus,n.,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
Abacus,n.,"A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."
Abacus,n.,"The uppermost member or division of the capital of a column, immediately under the architrave. See Column."
Abacus,n.,"A tablet, panel, or compartment in ornamented or mosaic work."
Abacus,n.,"A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
Abada,n.,The rhinoceros.
Abaddon,n.,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
Abaddon,n.,Hell; the bottomless pit.
Abaft,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
Abaft,adv.,"Toward the stern; aft; as, to go abaft."
Abaisance,n.,Obeisance.
Abaiser,n.,Ivory black or animal charcoal.
Abaist,p. p.,Abashed; confounded; discomfited.
Abalienate,v. t.,To transfer the title of from one to another; to alienate.
Abalienate,v. t.,To estrange; to withdraw.
Abalienate,v. t.,To cause alienation of (mind).
Abalienation,n.,The act of abalienating; alienation; estrangement.
Abalone,n.,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."
Aband,v. t.,To abandon.
Aband,v. t.,To banish; to expel.
Abandoned,imp. & p. p.,of Abandon
Abandoning,p. pr. & vb. n.,of Abandon
Abandon,v. t.,To cast or drive out; to banish; to expel; to reject.
Abandon,v. t.,"To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender."
Abandon,v. t.,Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.
Abandon,v. t.,"To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against."
Abandon,v.,Abandonment; relinquishment.
Abandon,n.,A complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease.
Abandoned,a.,"Forsaken, deserted."
Abandoned,a.,"Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
Abandonedly,adv.,Unrestrainedly.
Abandonee,n.,One to whom anything is legally abandoned.
Abandoner,n.,One who abandons.
Abandonment,n.,"The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
Abandonment,n.,The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.
Abandonment,n.,"The relinquishment of a right, claim, or privilege, as to mill site, etc."
Abandonment,n.,"The voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion."
Abandonment,n.,Careless freedom or ease; abandon.
Abandum,n.,Anything forfeited or confiscated.
Abanet,n.,See Abnet.
Abanga,n.,"A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
Abannation,n.,Alt. of Abannition
Abannition,n.,Banishment.
Abarticulation,n.,"Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
Abased,imp. & p. p.,of Abase
Abasing,p. pr. & vb. n.,of Abase
Abase,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
Abase,a.,"To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
Abased,a.,Lowered; humbled.
Abased,a.,"Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield."
Abasedly,adv.,Abjectly; downcastly.
Abasement,n.,"The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
Abaser,n.,"He who, or that which, abases."
Abashed,imp. & p. p.,of Abash
Abashing,p. pr. & vb. n.,of Abash
Abash,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
Abashedly,adv.,In an abashed manner.
Abashment,n.,The state of being abashed; confusion from shame.
Abassi,n.,Alt. of Abassis
Abassis,n.,"A silver coin of Persia, worth about twenty cents."
Abatable,a.,"Capable of being abated; as, an abatable writ or nuisance."
Abated,imp. & p. p.,of Abate
Abating,p. pr. & vb. n.,of Abate
Abate,v. t.,To beat down; to overthrow.
Abate,v. t.,"To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope."
Abate,v. t.,"To deduct; to omit; as, to abate something from a price."
Abate,v. t.,To blunt.
Abate,v. t.,To reduce in estimation; to deprive.
Abate,v. t.,"To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ."
Abate,v. t.,"To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets."
Abate,v. t.,"To decrease, or become less in strength or violence; as, pain abates, a storm abates."
Abate,v. t.,"To be defeated, or come to naught; to fall through; to fail; as, a writ abates."
Abate,n.,Abatement.
Abatement,n.,"The act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof."
